Rank,NASA,TA,E,A,C,N,O,AC,EC,TC,H,RS,WH,TWR,BF,NP,FA,SR,AP,AR,DWH,DWR,T,DS,FC
2,18,49,4,7,7,7,5,17,21,25,15,2,2,50,1,1,1,3,2,4,2,70,1,2,5
1,33,40,3,5,10,6,6,18,18,30,22,2,2,60,1,3,1,2,2,4,2,70,2,2,5
3,24,46,7,8,9,2,10,10,22,32,35,2,2,20,2,2,1,2,2,5,2,70,2,1,4
3,28,53,7,7,10,6,6,21,14,22,15,2,2,10,1,1,1,3,2,3,2,50,2,2,1
2,32,46,4,6,8,6,5,15,18,34,23,2,2,50,2,1,1,3,2,5,2,70,2,1,5
1,28,37,5,7,10,5,8,15,17,29,17,2,2,40,2,1,2,2,2,5,2,80,2,2,4
1,19,44,8,10,6,5,8,21,14,27,11,2,2,50,1,3,6,2,2,2,2,80,1,2,4
2,29,44,6,5,7,5,5,22,26,26,23,1,2,60,1,1,1,4,1,3,2,90,1,2,6
3,23,36,5,8,10,4,10,11,12,23,29,1,2,60,2,1,1,4,2,4,2,70,2,2,6
2,24,38,6,9,10,5,6,14,17,31,9,2,2,30,2,1,6,6,2,4,2,60,2,2,5
1,26,30,7,6,8,3,6,16,10,32,34,2,2,40,2,2,1,1,2,1,2,70,2,2,3
3,12,39,9,10,8,5,9,18,12,30,51,1,2,30,2,1,1,5,2,4,2,70,2,2,3
2,21,39,4,7,5,4,8,22,15,30,23,2,2,50,1,3,1,2,2,4,2,80,1,1,6
2,19,52,6,6,8,9,6,16,22,29,15,2,2,50,1,2,1,1,1,4,2,70,1,2,5
1,23,44,5,4,9,7,8,22,24,28,10,1,1,50,1,3,2,1,2,5,2,80,2,2,4
3,19,31,4,7,10,3,7,15,8,33,24,1,2,60,1,1,2,4,2,3,1,70,2,1,4
3,24,38,5,7,7,4,8,14,17,29,17,2,2,30,1,1,2,1,2,4,1,30,2,1,2
3,16,29,10,6,9,3,7,23,17,34,15,2,1,40,1,2,1,4,2,4,2,70,1,2,5
3,19,48,7,5,6,8,6,25,28,24,22,2,2,20,2,1,2,2,2,5,2,80,1,2,3
3,25,40,5,8,8,4,7,18,19,28,22,1,2,20,2,3,6,3,2,2,2,40,1,2,5
1,21,51,10,8,6,8,8,20,21,19,17,2,2,50,1,2,2,2,1,3,2,90,1,2,5
2,30,44,10,8,5,6,8,22,18,26,21,1,2,40,1,3,2,1,2,4,2,50,1,2,4
3,26,58,3,8,9,4,6,11,23,28,45,1,2,20,2,1,4,5,2,5,2,60,1,2,5
3,20,29,5,8,10,4,7,19,18,29,55,1,2,60,2,3,3,2,2,4,2,20,1,2,6
2,24,60,6,7,7,7,6,20,30,28,15,1,2,30,2,3,1,2,2,2,2,60,1,2,2
1,27,58,7,7,9,8,8,20,27,32,2,2,1,40,1,1,1,1,1,4,2,70,2,2,1
1,30,60,5,8,8,6,9,26,20,26,21,2,2,30,2,3,5,1,2,2,2,40,1,2,4
1,22,45,4,7,8,8,4,19,24,29,16,2,2,40,2,1,4,6,2,2,2,50,1,2,3
3,28,58,6,8,9,9,7,21,31,25,40,2,2,10,1,2,5,1,1,5,2,20,1,2,4
3,18,31,8,9,7,2,6,23,8,28,10,2,1,50,1,1,1,3,1,2,2,70,2,1,2
1,23,45,9,7,8,8,9,22,23,26,13,2,2,20,2,2,1,2,2,3,2,70,2,2,5
1,20,34,8,9,9,3,6,23,17,27,13,2,2,40,2,1,2,3,2,5,2,70,1,2,6
3,18,48,4,7,8,10,7,13,24,27,26,1,2,10,2,2,6,6,2,2,2,50,2,2,4
3,18,35,6,5,9,6,5,13,13,26,49,2,2,60,1,3,1,2,2,5,2,80,1,2,4
3,25,33,4,7,10,5,10,17,16,29,34,2,2,20,1,3,2,2,2,3,2,50,2,1,3
